latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
28.464294,69.86396,339.08,0.42,0.45,2020-01-03,0801,N,VIIRS,n,1,292.66,4.58,D,0
26.955904,67.778023,339.05,0.59,0.53,2020-01-03,0801,N,VIIRS,n,1,290.63,8.73,D,0
26.951468,67.77533,336.01,0.59,0.53,2020-01-03,0801,N,VIIRS,n,1,290.15,4.02,D,0
26.792749,68.262787,339.26,0.56,0.51,2020-01-03,0801,N,VIIRS,n,1,291.9,11.41,D,0
26.337658,68.578743,338.55,0.55,0.51,2020-01-03,0801,N,VIIRS,n,1,290.74,3.12,D,0
26.33304,68.579918,328.25,0.55,0.51,2020-01-03,0801,N,VIIRS,n,1,289.92,3.12,D,0
25.93791,69.008797,331.38,0.52,0.5,2020-01-03,0801,N,VIIRS,n,1,290.63,3.74,D,0
28.733456,70.332413,340.01,0.39,0.44,2020-01-03,0801,N,VIIRS,n,1,291.15,4.05,D,0
28.769073,70.471222,327.09,0.38,0.43,2020-01-03,0801,N,VIIRS,n,1,292.36,1.19,D,0
28.895088,70.849442,336.62,0.55,0.42,2020-01-03,0801,N,VIIRS,n,1,292.42,4.57,D,0
28.895317,70.848145,333.45,0.55,0.42,2020-01-03,0801,N,VIIRS,n,1,293.29,5.79,D,0
28.975946,71.119255,338.33,0.53,0.42,2020-01-03,0801,N,VIIRS,n,1,301.85,14.48,D,0
28.974918,71.113899,330.11,0.53,0.42,2020-01-03,0801,N,VIIRS,n,1,297.69,5.92,D,0
28.979744,71.118332,339.12,0.53,0.42,2020-01-03,0801,N,VIIRS,n,1,296.49,9.28,D,0
28.978716,71.112968,326.9,0.53,0.42,2020-01-03,0801,N,VIIRS,n,1,296.78,4.54,D,0
29.146671,70.664291,325.15,0.55,0.43,2020-01-03,0801,N,VIIRS,n,1,290.42,1.24,D,0
28.730259,70.337357,339.71,0.39,0.44,2020-01-03,0801,N,VIIRS,n,1,295.03,4.81,D,0
28.793612,70.680794,329.87,0.56,0.43,2020-01-03,0801,N,VIIRS,n,1,292.19,3.48,D,0
28.705471,70.401276,340.65,0.39,0.44,2020-01-03,0801,N,VIIRS,n,1,294.55,6.36,D,0
28.704588,70.401482,341.59,0.39,0.44,2020-01-03,0801,N,VIIRS,n,1,298.66,12.13,D,0
28.686232,70.583984,330.94,0.57,0.43,2020-01-03,0801,N,VIIRS,n,1,291.03,3.32,D,0
28.558235,70.063751,339.21,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,293.72,4.25,D,0
28.508301,69.880066,341.82,0.42,0.45,2020-01-03,0801,N,VIIRS,n,1,295.3,4.09,D,0
28.513033,69.966743,328.66,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,293.41,1.53,D,0
28.514462,69.965721,327.14,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,295.12,2.46,D,0
28.498953,69.952156,337.63,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,293.96,9.17,D,0
28.499775,69.956329,339.32,0.41,0.45,2020-01-03,0801,N,VIIRS,n,1,294.14,9.17,D,0
29.332012,71.561012,329.83,0.5,0.41,2020-01-03,0801,N,VIIRS,n,1,291.65,10,D,0
29.33477,71.555054,326.29,0.5,0.41,2020-01-03,0801,N,VIIRS,n,1,290.3,2.58,D,0
29.348688,71.420975,340.33,0.5,0.41,2020-01-03,0801,N,VIIRS,n,1,292.21,9.53,D,0
28.561861,70.337708,339.22,0.39,0.44,2020-01-03,0801,N,VIIRS,n,1,294.36,5.57,D,0
29.34833,71.378029,337.97,0.51,0.41,2020-01-03,0801,N,VIIRS,n,1,293.45,5.95,D,0
29.849644,73.515877,345.34,0.41,0.37,2020-01-03,0801,N,VIIRS,n,1,290.57,5.79,D,0
29.868526,72.214607,325.41,0.46,0.39,2020-01-03,0801,N,VIIRS,n,1,292.84,2.59,D,0
28.729479,70.333412,340.51,0.39,0.44,2020-01-03,0801,N,VIIRS,n,1,295.03,4.69,D,0
30.000586,72.899605,344.15,0.43,0.38,2020-01-03,0801,N,VIIRS,n,1,295.22,8.01,D,0
31.832937,73.098114,329.99,0.41,0.37,2020-01-03,0802,N,VIIRS,n,1,290.1,2.64,D,0
32.140404,71.603386,328.48,0.45,0.39,2020-01-03,0802,N,VIIRS,n,1,298.2,2.83,D,0
32.463554,74.073357,345.46,0.39,0.36,2020-01-03,0802,N,VIIRS,n,1,290.8,4.47,D,0
31.936592,71.049919,329.67,0.48,0.4,2020-01-03,0802,N,VIIRS,n,1,291.46,2.75,D,0
31.828665,70.702652,338.98,0.5,0.41,2020-01-03,0802,N,VIIRS,n,1,292.4,4.27,D,0
31.828436,70.704628,338,0.5,0.41,2020-01-03,0802,N,VIIRS,n,1,291.98,5.08,D,0
31.718443,70.308823,331.65,0.52,0.42,2020-01-03,0802,N,VIIRS,n,1,294.38,3.37,D,0
31.84062,70.997292,327.64,0.48,0.4,2020-01-03,0802,N,VIIRS,n,1,291.25,1.32,D,0
